genres,app_name,release_date,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
"Action, Casual, Indie",Death Goat Soundtrack Vol. 1,2015,417770,Terminal Press,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Action,DARIUSBURST Chronicle Saviours,2015,377870,Pyramid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Simulation, Early Access",Hurtworld,2015,393420,Bankroll Studios,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Adventure, Indie",An Octave Higher - Extended Soundtrack,2015,415431,Kidalang,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adventure, Indie",An Octave Higher - Basic Soundtrack,2015,415430,Kidalang,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Racing, Simulation, Sports",MotoGP™15: Season Pass,2015,374810,Milestone S.r.l.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Action, Casual, Indie",Beatbuddy: On Tour - Original Soundtrack,2015,412980,Threaks,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie, Simulation",AX:EL - Air XenoDawn,2015,319830,Alex Piola,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Adventure, Indie, RPG, Strategy",Into the Void,2015,420270,Mozg Labs,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Adventure, Casual, Indie, RPG, Strategy",Threads of Destiny,2015,424870,Warfare Studios,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Casual, Indie",Reveal The Deep,2015,411560,Lazy Monday Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adventure, Indie, RPG, Simulation",Our Love Will Grow - Farmer's Handbook,2015,425130,John Wizard,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Action,HELLDIVERS™ - Demolitionist Pack,2015,395235,Arrowhead Game Studio,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,HELLDIVERS™ - Hazard Ops Pack,2015,395236,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,HELLDIVERS™ - Specialist Pack,2015,395237,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,HELLDIVERS™ - Weapons Pack,2015,395238,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,HELLDIVERS™ - Entrenched Pack,2015,396170,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,HELLDIVERS™ - Terrain Specialist Pack,2015,396172,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,HELLDIVERS™ - Precision Expert Pack,2015,396173,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indie, RPG, Simulation",Wild Season,2015,328220,Quickfire Games,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Action,HELLDIVERS™ - Pistols Perk Pack,2015,396171,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,HELLDIVERS™ - Vehicles Pack,2015,395239,Arrowhead Game Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie, RPG, Strategy, Early Access",Survive Me Miolhr,2016,418430,Miolhr SM,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Indie, RPG, Strategy",Fantasy Grounds - D&D Complete Dungeon Master's Guide,2015,422580,"SmiteWorks USA, LLC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Action, Indie",Void Invaders - Soundtrack,2015,416900,VoidDev,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",SodaCity,2015,424210,Tochas Studios,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Indie,Theme Song OST - Cinderella feat. Meilun,2015,425500,LeeTingChou,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie, RPG",Notrium,2003,349100,Instant Kingdom,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Action, Indie",SodaCity - Original Soundtrack,2015,424240,Tochas Studios,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adventure, Indie",Highschool Possession,2015,408770,Dharker Studio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Animation &amp; Modeling, Video Production",FaceRig Live2D Module,2015,420680,Holotech Studios,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Indie, Strategy",Galactic Civilizations III - Precursor Worlds DLC,2015,420030,Stardock Entertainment,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Action,GGXrd Extra Color Palettes - ELPHELT VALENTINE,2015,419965,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GUILTY GEAR Xrd -SIGN-,2015,376300,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd Extra Color Palettes - SIN KISKE,2015,419964,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd Extra Color Palettes - RAMLETHAL VALENTINE,2015,419963,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd Extra Color Palettes - ZATO-1,2015,419961,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategy,Total War: ATTILA - Age of Charlemagne Campaign Pack,2015,343464,Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Action,GGXrd Extra Color Palettes - I-NO,2015,419949,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd System Voice - MAY,2015,419475,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd Extra Color Palettes - BEDMAN,2015,419962,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd System Voice - KY KISKE,2015,419474,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd System Voice - SOL BADGUY,2015,419473,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd Extra Color Palettes - SLAYER,2015,419960,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd System Voice - ELPHELT VALENTINE,2015,419938,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd System Voice - SIN KISKE,2015,419937,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd System Voice - ZATO-1,2015,419934,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,GGXrd System Voice - I-NO,2015,419932,Arc System Works,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indie, Strategy",Foresight OST,2015,409060,"Strides Interactive,Jeremy Lee",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Action, Adventure, Indie",FreezeME,2015,390210,Rainy Night Creations,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Casual,Tetris® Ultimate,2015,316750,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indie, Simulation",South West Europe Scenery Collection,2015,420340,Quality Simulations,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Action, Free to Play, Massively Multiplayer, Simulation, Strategy",MechWarrior Online™,2015,342200,Piranha Games Inc.,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"Free to Play, Strategy",Krosmaster - Ogrest Pack,2015,420322,Ankama Studio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Indie, Simulation",Cosplay Maker,2015,299090,Locked Door Puzzle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Simulation,A-Train 9 V4.0 : Mega Japan Train Pack,2015,418140,ARTDINK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Action, Casual, Indie",Vector Assault,2015,425860,Wizbyte Games,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RPG, Strategy",The Glow,2015,424060,Brainwashing games,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Action, Adventure, Indie",Dragon's Wake,2015,399070,Brainbox Software,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie",Dragon's Wake - Soundtrack,2015,425710,Brainbox Software,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Zero Reflex Soundtrack,2015,427020,Exordium Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adventure, Casual",Contract With The Devil,2015,409600,AZ-Art Development Studio,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie, Strategy",Battle of Empires : 1914-1918 - German campaign,2015,340640,Great War Team,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Simulation,Train Simulator: Semmeringbahn - Mürzzuschlag to Gloggnitz Route Add-On,2015,325990,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Adventure, Casual, Indie, RPG, Strategy",OH! RPG!,2015,421810,RosePortal Games,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Adventure, Casual, Indie",Knee Deep Demo,2015,427090,Prologue Games,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie, Simulation, Strategy",Gulf of Aden - Task Force Somalia,2015,407100,BlewScreen,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"Action, Adventure, Casual, Indie, Simulation",Gabe Newell Simulator 2.0,2015,407420,Antonio Renna,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure","Magicka 2: Ice, Death and Fury",2015,414651,Paradox Arctic,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adventure, Indie",Hatoful Boyfriend: Holiday Star,2015,377080,"Mediatonic,The Irregular Corporation",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Rubber Ducky and the Rainbow Gun OST,2015,420810,John Szymanski,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Animation &amp; Modeling, Video Production",FaceRig Winter Holidays Avatars 2015,2015,420821,Holotech Studios,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Indie, Racing, Simulation, Sports",Assetto Corsa - Dream Pack 3,2015,423630,Kunos Simulazioni,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
Adventure,King's Quest - Chapter 2: Rubble Without A Cause,2015,360270,The Odd Gentlemen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie",Turnover,2015,372250,Long Division LLC,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Casual, Indie, Strategy",Gigachess,2015,415910,Gigatross Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Action, Adventure, Indie, Simulation",Colony Assault,2015,398020,Logic tree,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure",Call of Duty®: Black Ops III - C.O.D.E. Warriors Personalization Pack,2015,426730,Treyarch,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Rubber Ducky and the Rainbow Gun,2015,416550,John Szymanski,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Casual, Indie, Strategy",Gigachess Demo,2015,424220,Gigatross Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Mötley Crüe - “Dr. Feelgood”,2015,390407,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Simulation","Rocksmith® 2014 – Mötley Crüe - “Girls, Girls, Girls”",2015,390408,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Mötley Crüe Song Pack,2015,390411,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure",Bubsy Two-Fur,1993,426630,Accolade,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Mötley Crüe - “Shout at the Devil”,2015,390409,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure, Indie, RPG, Simulation",Reign Of Kings,2015,344760,Code}{atch,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Simulation,FSX: Steam Edition - Piper Aztec Add-On,2015,379568,Aeroplane Heaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Adventure, Indie, Early Access",AWAKE,2015,421110,Diios,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Action,Tom Clancy's Rainbow Six® Siege - Ultra HD Texture Pack,2015,377560,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie",Taimumari,2015,375520,TERNOX,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RPG,FINAL FANTASY VI,2015,382900,Square Enix,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Action, Indie, Sports",Super Slam Dunk Touchdown,2015,388260,Tipping Goat LLC,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Adventure, Indie, RPG",Sinless + OST,2015,340320,MGP Studios,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Action, Casual, Indie, Early Access",Waves 2,2015,217120,Squid In A Box Ltd,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Depth - Battle-scarred Bull Skin,2015,423853,Digital Confectioners,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Depth - Digital Ice & Fire Pack,2015,423850,Digital Confectioners,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Depth - Soundtrack,2015,423852,Digital Confectioners,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Depth - Viktor Diver Pack,2015,418820,Digital Confectioners,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Design &amp; Illustration, Web Publishing",RPG Maker MV - Season Pass,2015,426100,"KADOKAWA,Yoji Ojima",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Action, Indie",Depth - Digital Artbook,2015,423851,Digital Confectioners,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie",Depth - Corsair Pack,2015,414180,Digital Confectioners,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Sports",River City Super Sports Challenge ~All Stars Special~,2015,326340,Arc System Works,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Indie, RPG",MetaHuman Inc. Demo,2015,426340,Choice of Games,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Indie, RPG",MetaHuman Inc.,2015,426330,Choice of Games,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Utilities,AquaSnap Window Manager,2015,391050,Nurgo Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Indie, Strategy",In The Dead Of Night - Urszula's Revenge,2015,416430,Axed Game Studio,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Action, Indie",Umbra: Shadow of Death Demo,2015,426650,Colludium Ltd,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Audio Production, Education, Software Training, Video Production, Web Publishing",liteCam Game 5:  120 FPS Game Capture + Streamer,2015,428800,Rsupport Inc.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"Action, Adventure, Indie, Racing",JumpJet Rex Demo,2015,360250,TreeFortress Games,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Indie, Early Access",Mines of Mars,2015,413740,Wickey Ware,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie, RPG, Simulation, Strategy, Early Access",The Withering,2015,427950,CM Softworks,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"Action, Adventure, Indie, Simulation",Dinosaur Hunt - Dragon Hunter Expansion Pack,2015,408102,ANPA.US,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure, Indie, RPG, Strategy",The fall of gods,2015,424170,GeexGames,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Indie,Goodnight Butcher,2015,426040,Perfect Square Studios,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie",Retaliation,2015,418280,"Cameron Baxter,Billy Jazz Hills Stickley",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adventure, Indie",The Room of Black & White Soundtracks,2015,429990,Studio Wonderkey,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Free to Play, Indie, Massively Multiplayer, Strategy",Cards and Castles,2015,360730,Red Team Games,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"Adventure, Indie",The Room of Black & White,2015,402000,Studio Wonderkey,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Casual, Indie",Swapperoo,2015,410150,Fallen Tree Games Ltd,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie",Frizzy,2015,391100,Team Frizz,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Assassin's Creed Syndicate - Jack The Ripper,2015,405080,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Casual, Indie",Hatch and Slay,2015,428760,Myrolit Studios,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Assassin's Creed Syndicate Season Pass,2015,371020,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Stone Temple Pilots - “Plush”,2015,390412,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Indie, RPG",Our Nation's Miner,2015,360040,Lord Bytesworth,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Stone Temple Pilots - “Sex Type Thing”,2015,390414,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Stone Temple Pilots - “Creep”,2015,390415,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Stone Temple Pilots - “Interstate Love Song”,2015,390413,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Stone Temple Pilots - “Big Empty”,2015,390417,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Stone Temple Pilots Song Pack,2015,390418,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure",Batman™: Arkham Knight - Season of Infamy: Most Wanted Expansion,2015,401635,Rocksteady Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Batman™: Arkham Knight Crime Fighter Challenge Pack #5,2015,401626,Rocksteady Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casual, Simulation",Rocksmith® 2014 – Stone Temple Pilots - “Wicked Garden”,2015,390416,Ubisoft - San Francisco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure, Indie",Valzar,2015,405810,Whale Nebula,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Batman™: Arkham Knight - Original Arkham Batmobile,2015,405032,Rocksteady Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Casual, Indie",Resilience: Wave Survival,2015,429490,Jimbob Games,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie",Adventure in the Tower of Flight,2015,368830,"Pixel Barrage Entertainment, Inc.",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Indie",Game Soundtrack,2015,430940,"Pixel Barrage Entertainment, Inc.",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Simulation,RTK Maker - Face CG Nobunyaga Set - 三国志ツクール顔登録素材『のぶニャがの野望』セット＋シナリオ,2015,426743,"KOEI TECMO GAMES CO., LTD.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Simulation,RTK Maker - Face CG Koei SLG Set - 三国志ツクール顔登録素材「コーエーSLG」セット+シナリオ,2015,426740,"KOEI TECMO GAMES CO., LTD.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Simulation,RTK Maker - Face CG Taiko Risshiden V Set - 三国志ツクール顔登録素材「太閤立志伝V」セット+シナリオ,2015,426741,"KOEI TECMO GAMES CO., LTD.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Simulation,RTK Maker - Face CG Warriors Set - 三国志ツクール顔登録素材「無双」セット+シナリオ,2015,426742,"KOEI TECMO GAMES CO., LTD.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Action, Indie, Simulation, Strategy, Early Access",Bionite: Origins,2015,414770,Platoon Studios,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"Indie, Simulation",Gridworld,2015,396890,DopplerFrog,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Casual,Solitaire Christmas. Match 2 Cards,2015,428510,Creobit,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Free to Play, Massively Multiplayer, Simulation",Steel Ocean - Repulse Package,2015,430110,ICE Entertainment,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"Free to Play, Massively Multiplayer, Simulation",Steel Ocean - Original SoundTrack Vol.1,2015,398310,ICE Entertainment,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"Casual, Indie, Strategy",12 Labours of Hercules IV: Mother Nature (Platinum Edition),2015,396800,"Jetdogs Studios,Zoom Out Games",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Action, Indie",Taimumari — Soundtrack,2015,376230,TERNOX,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Free to Play, Indie, Massively Multiplayer, Strategy",Астролорды: Оружие Пришельцев,2015,431060,Aratog LLC,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"Free to Play, Indie, Massively Multiplayer, Strategy",Aстролорды: Опытный строитель,2015,431050,Aratog LLC,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"Free to Play, Massively Multiplayer, Simulation, Sports",Fishing Planet: St.Patrick's Pack,2015,422473,Fishing Planet LLC,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"Casual, Indie, Simulation, Sports, Strategy",Elysium: Blood Games,2016,430080,SimProse Studios,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
Simulation,What's under your blanket !?,2016,432020,5Wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Adventure, Casual, Indie",Strawberry Vinegar Original Soundtrack,2016,432510,ebi-hime,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
